batch_id,factory_name,country,city,industry_type,waste_type,quantity_kg,material_category,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
RWX-100000,Wilson-Hartman,Indonesia,Dubai,Garment Processing,Textile Dye Waste,12070.48,Chemical,Color Pigments,8.08,1239.53,258.99,5497.42,470.69,5980.79,568.77,48.78,63.04,71.15,72.1,83.75,82.4,8.04,84.23,93.61,32.27,397.94,39.26,68.32,5587453.17,Sustainable Ceiling Tiles,Very High,UltraTech EcoBuild,Low,Highly Recoverable,58.66,22.4,2025-02-20
RWX-100001,Hughes Group,China,Tokyo,Synthetic Fiber Plant,Mixed Industrial Waste,20858.24,Textile,Organic Contaminants,8.39,589.38,645.21,9065.29,821.08,1191.12,220.1,77.35,63.06,71.02,75.84,85.52,68.58,8.48,51.92,72.84,77.34,356.18,65.7,50.87,3877412.62,Recycled Plastic Lumber,High,EcoPack Solutions,Medium,Highly Recoverable,67.17,19.7,2025-11-02
RWX-100002,Banik-Saran,India,Panipat,Paper Manufacturing,Chemical Effluent,10259.63,Chemical,Lead,9.18,324.9,312.26,11639.55,574.86,4331.0,730.88,3.63,37.31,48.38,50.61,43.9,17.1,8.68,50.79,70.5,73.8,945.38,13.04,39.61,8266046.46,Industrial Pigments,Emerging,Mahindra Sustainable Solutions,High,Highly Recoverable,33.66,36.3,2023-04-28
RWX-100003,Trujillo Group,UK,Tokyo,Metal Processing,Printing Dye Sludge,5037.73,Metal,Low Contamination,4.19,513.55,413.21,810.58,239.31,3516.7,71.19,29.27,49.15,22.25,16.01,25.19,55.34,1.95,71.82,10.96,95.91,707.11,84.14,20.76,6499150.87,Recycled Plastic Lumber,High,Asian Paints Eco Division,High,Moderately Recoverable,32.83,14.8,2025-04-08
RWX-100004,"Jenkins, Randolph and Holmes",UK,Tokyo,Synthetic Fiber Plant,Chemical Effluent,10930.39,Polymer,Organic Contaminants,8.71,1321.85,207.44,5536.83,654.49,4987.12,703.74,56.77,36.18,77.24,72.8,50.89,41.81,7.89,52.65,72.9,35.32,663.48,57.47,5.75,5344030.16,Industrial Absorbent Pads,Emerging,Reliance Circular Ventures,Low,Low Recovery Potential,74.96,22.9,2025-04-15
RWX-100005,Torres-Preston,Bangladesh,Manchester,Textile Manufacturing,Printing Dye Sludge,20963.19,Polymer,Lead,8.04,342.87,417.46,6730.22,195.14,4351.61,386.23,48.4,56.08,49.37,34.83,56.27,82.13,6.36,77.9,65.98,93.33,57.06,25.38,11.91,3575427.94,Composite Wall Panels,High,JSW Green Materials,Low,Moderately Recoverable,74.99,42.7,2023-09-10
RWX-100006,George Ltd,China,Dhaka,Garment Processing,Polyester Fiber Waste,12037.34,Mixed,High TDS,9.34,719.08,510.15,5886.1,510.82,8402.28,414.82,12.64,25.97,23.06,24.66,86.64,5.48,6.43,61.82,90.41,59.86,561.31,75.95,50.36,7367785.62,Industrial Absorbent Pads,Medium,RenewLoop Manufacturing,High,Needs Advanced Treatment,62.22,13.8,2024-05-18
RWX-100007,Deol-Grewal,India,Jaipur,Leather Processing,Industrial Wastewater,16259.31,Textile,Sulfide,8.81,472.81,731.72,1559.16,480.02,8850.43,446.11,41.58,48.88,64.77,61.78,84.44,32.91,4.72,41.74,53.47,90.62,996.02,56.41,69.51,1992169.49,Industrial Pigments,High,CircularTex Global,High,Needs Advanced Treatment,97.79,31.0,2025-08-05
RWX-100008,Lal Ltd,India,Coimbatore,Garment Processing,Sludge,3513.86,Mixed,Color Pigments,6.73,1305.86,600.32,5448.22,772.23,663.01,298.91,16.74,62.08,39.01,34.65,64.49,64.39,8.06,53.24,40.98,44.38,493.35,63.25,14.16,3926047.48,Composite Wall Panels,Medium,EcoPack Solutions,Medium,Low Recovery Potential,61.32,35.0,2022-08-09
RWX-100009,Sankar Ltd,India,Kanpur,Chemical Processing,Fabric Scraps,23122.22,Metal,Organic Contaminants,8.52,194.93,859.38,2414.32,259.65,9938.56,162.55,34.82,35.33,32.21,35.76,57.8,53.91,9.27,69.9,37.1,67.13,540.11,43.41,15.65,7721389.22,Acoustic Panels,Emerging,Tata Sustainable Materials,Medium,Moderately Recoverable,36.87,21.9,2024-08-26
RWX-100010,Gole PLC,India,Pune,Chemical Processing,Sludge,3126.57,Mixed,Microplastics,8.82,1387.91,43.3,4246.49,366.56,6691.14,511.21,53.7,29.75,27.93,28.98,40.12,7.44,1.91,98.19,92.01,90.47,543.62,43.85,27.21,7062792.25,Industrial Absorbent Pads,High,Reliance Circular Ventures,Medium,Moderately Recoverable,67.88,34.1,2024-05-20
RWX-100011,Chatterjee-Choudhary,India,Tiruppur,Paper Manufacturing,Industrial Wastewater,5114.6,Textile,Lead,4.35,612.49,763.63,5853.17,363.75,8509.13,695.19,2.69,21.87,27.98,29.76,32.28,48.13,8.49,61.13,43.99,28.97,661.33,97.6,31.27,3128358.62,Sustainable Ceiling Tiles,Medium,UltraTech EcoBuild,High,Moderately Recoverable,60.03,40.8,2026-02-02
RWX-100012,"Love, Schneider and Edwards",UK,New York,Synthetic Fiber Plant,Printing Dye Sludge,23613.74,Metal,Low Contamination,4.9,1144.81,100.37,4249.78,182.0,1460.91,97.43,79.41,46.16,75.4,74.54,52.16,32.27,3.0,91.37,14.63,86.37,291.24,32.57,40.65,7285173.08,Thermal Insulation Boards,High,RenewLoop Manufacturing,High,Highly Recoverable,56.42,24.2,2022-06-23
RWX-100013,Valentine-Jones,Japan,New York,Construction Materials,Sludge,6413.58,Mixed,High TDS,8.03,1504.54,387.16,3176.89,688.84,3346.06,606.68,44.14,24.09,25.9,24.46,24.12,75.16,2.17,83.91,66.92,89.27,32.41,83.32,35.11,2264958.85,Compressed Construction Blocks,Very High,RenewLoop Manufacturing,High,Highly Recoverable,80.4,19.5,2024-02-27
RWX-100014,"Kannan, Bhatia and Majumdar",India,Mumbai,Paper Manufacturing,Chemical Effluent,2546.44,Textile,Chromium,8.9,998.73,792.76,7967.18,279.78,4796.26,365.22,70.62,53.39,82.99,70.62,66.85,26.02,8.42,37.06,14.09,27.25,539.82,36.62,21.97,3453107.89,Sustainable Ceiling Tiles,High,JSW Green Materials,High,Needs Advanced Treatment,51.53,32.4,2024-09-28
RWX-100015,Morris-Williams,Germany,Berlin,Paper Manufacturing,Fabric Scraps,6349.79,Polymer,Microplastics,8.41,1303.67,109.97,712.74,611.24,6876.88,765.08,45.9,47.06,62.95,65.66,44.86,26.57,1.4,44.84,77.72,48.76,911.05,69.19,59.81,27271.93,Sustainable Ceiling Tiles,High,GreenBuild International,Low,Highly Recoverable,93.73,9.9,2024-09-12
RWX-100016,Chand-Handa,India,Bengaluru,Paper Manufacturing,Fabric Scraps,14472.14,Polymer,Low Contamination,9.16,495.33,780.87,7145.11,203.97,2887.96,212.82,71.38,48.55,40.91,40.09,28.14,58.54,5.95,61.91,84.82,30.65,994.02,19.43,11.61,4196065.08,Compressed Construction Blocks,Very High,RenewLoop Manufacturing,Low,Highly Recoverable,98.87,47.5,2026-04-24
RWX-100017,"Grant, Wagner and Kennedy",Japan,Seoul,Metal Processing,Textile Dye Waste,4681.2,Organic,Organic Contaminants,5.26,958.54,229.31,4458.24,109.55,4774.1,198.0,20.59,55.57,87.22,71.84,68.34,37.55,9.38,51.94,89.91,68.92,569.75,80.26,38.17,225862.84,Composite Wall Panels,Very High,UltraTech EcoBuild,Medium,Moderately Recoverable,95.78,43.4,2024-09-07
RWX-100018,Schultz LLC,Thailand,Tokyo,Synthetic Fiber Plant,Polyester Fiber Waste,8573.18,Mixed,Low Contamination,9.62,92.75,805.44,11981.25,770.85,6384.32,261.61,48.97,39.21,55.95,59.08,78.67,77.06,4.59,88.0,32.12,45.08,18.9,12.08,7.91,6853009.28,Eco Bricks,High,CircularTex Global,Low,Low Recovery Potential,69.57,4.9,2022-08-04
RWX-100019,Ramanathan Group,India,Bengaluru,Construction Materials,Printing Dye Sludge,5309.63,Organic,Sulfide,7.02,1658.08,495.31,6356.46,412.92,2333.08,707.64,10.71,21.12,50.21,53.93,20.73,46.97,5.52,45.37,94.2,80.16,329.5,46.48,19.15,4204999.29,Eco Concrete Additives,Medium,RenewLoop Manufacturing,Low,Needs Advanced Treatment,59.11,42.7,2024-01-03
RWX-100020,Richards-Higgins,Turkey,Tokyo,Synthetic Fiber Plant,Polyester Fiber Waste,24126.33,Textile,Low Contamination,4.57,754.29,205.41,2272.02,231.64,9708.16,562.87,72.17,29.2,89.63,85.66,60.83,70.22,8.98,80.39,46.96,35.36,566.61,26.8,6.21,7465424.97,Circular Fashion Fibers,High,Tata Sustainable Materials,Low,Highly Recoverable,32.94,5.4,2023-06-01
RWX-100021,May-Hahn,China,New York,Industrial Dyeing,Synthetic Residue,17412.85,Organic,Heavy Metals,9.79,693.3,569.68,2634.91,514.14,7450.36,225.68,36.74,33.45,77.48,60.31,47.84,8.27,6.71,63.1,31.5,69.69,774.51,50.78,67.78,2413741.35,Eco Bricks,Emerging,Reliance Circular Ventures,High,Low Recovery Potential,35.21,39.4,2025-07-09
RWX-100022,Setty-Walla,India,Mumbai,Metal Processing,Polyester Fiber Waste,15624.41,Mixed,Organic Contaminants,9.98,947.03,218.41,10971.8,145.04,2807.16,605.08,23.87,56.76,90.58,102.35,70.64,70.4,6.55,70.95,77.66,57.84,338.94,53.66,66.48,663433.13,Sustainable Ceiling Tiles,Medium,Tata Sustainable Materials,Low,Highly Recoverable,62.93,30.3,2022-11-21
RWX-100023,"Vyas, Khosla and Chad",India,Ahmedabad,Paper Manufacturing,Synthetic Residue,6157.55,Textile,Sulfide,5.45,203.55,888.08,2453.81,99.77,6010.92,752.55,73.46,22.23,94.13,83.09,83.3,12.04,7.01,58.88,74.68,77.37,741.45,50.99,51.09,807643.65,Eco Packaging,High,Mahindra Sustainable Solutions,Low,Needs Advanced Treatment,49.95,43.3,2025-12-05
RWX-100024,Shroff-Deep,India,Noida,Plastic Recycling,Mixed Industrial Waste,17211.52,Polymer,Low Contamination,8.16,1169.71,56.59,5503.76,550.33,4364.15,443.73,77.58,48.83,88.82,78.71,55.06,39.69,7.37,82.93,57.87,78.21,139.24,41.35,40.65,5951085.37,Eco Concrete Additives,Medium,CircularTex Global,Low,Low Recovery Potential,31.83,35.7,2023-04-13
RWX-100025,Mitchell Ltd,Thailand,Istanbul,Synthetic Fiber Plant,Industrial Wastewater,8142.96,Polymer,High TDS,5.08,1795.22,622.61,5228.79,893.26,4984.42,276.19,71.71,45.16,83.75,71.89,73.33,59.07,4.21,44.12,92.88,31.64,934.05,46.8,52.08,3732168.78,Thermal Insulation Boards,Very High,EcoPack Solutions,Low,Needs Advanced Treatment,51.81,4.4,2023-05-29
RWX-100026,"Palmer, Gray and Carrillo",Japan,Istanbul,Garment Processing,Textile Dye Waste,5470.69,Mixed,Lead,6.25,1281.37,225.45,1014.04,512.73,2758.15,128.6,46.0,23.67,85.56,76.81,56.48,60.03,7.27,73.79,71.24,75.62,867.39,16.84,48.12,5062885.17,Industrial Pigments,Very High,Mahindra Sustainable Solutions,High,Needs Advanced Treatment,74.48,12.6,2024-08-22
RWX-100027,"Brahmbhatt, Bains and Iyer",India,Tiruppur,Construction Materials,Synthetic Residue,19062.86,Chemical,Color Pigments,5.06,1738.25,413.77,4631.51,297.69,1123.9,593.23,48.99,27.76,57.35,54.89,22.65,47.36,1.44,48.14,83.98,49.86,233.7,25.85,52.25,2473186.92,Thermal Insulation Boards,High,Tata Sustainable Materials,High,Moderately Recoverable,33.23,9.4,2023-10-11
RWX-100028,"Rattan, Aggarwal and Bora",India,Bengaluru,Chemical Processing,Sludge,6700.8,Chemical,Microplastics,5.14,451.02,526.5,11959.38,659.54,2650.92,135.57,11.42,41.35,52.11,47.74,50.49,77.35,1.37,75.73,79.48,53.27,15.15,34.9,63.79,5329658.23,Recycled Plastic Lumber,Very High,Reliance Circular Ventures,Low,Low Recovery Potential,33.81,45.3,2022-09-10
RWX-100029,"Powell, Carter and David",Thailand,Seoul,Paper Manufacturing,Industrial Wastewater,3715.28,Textile,Lead,4.52,1598.72,558.58,11504.87,647.32,7781.06,473.71,6.78,49.79,43.64,35.77,54.57,66.43,9.37,82.25,47.15,83.43,444.47,92.13,21.14,2852059.45,Eco Concrete Additives,High,Asian Paints Eco Division,High,Moderately Recoverable,34.09,17.7,2023-10-27
RWX-100030,"Moore, Lopez and Stone",Thailand,Tokyo,Garment Processing,Fly Ash,2797.39,Mixed,Color Pigments,8.08,277.64,403.63,4188.27,792.08,4956.97,508.09,29.14,31.71,51.57,37.62,80.05,32.3,9.97,54.79,12.3,55.64,617.53,32.03,48.12,1637292.34,Acoustic Panels,Medium,JSW Green Materials,Medium,Highly Recoverable,97.7,3.1,2023-04-23
RWX-100031,Brown and Sons,Bangladesh,New York,Leather Processing,Polyester Fiber Waste,13137.2,Metal,Chromium,7.13,1512.97,577.45,4648.95,735.81,8917.81,124.07,2.25,19.84,55.29,57.36,77.11,76.8,8.96,93.74,76.76,40.28,283.38,26.23,30.93,7457913.31,Thermal Insulation Boards,Medium,GreenBuild International,Medium,Low Recovery Potential,73.3,44.7,2023-07-14
RWX-100032,Hart Ltd,South Korea,Dubai,Garment Processing,Printing Dye Sludge,9688.35,Polymer,Chromium,7.02,1007.73,767.98,2160.89,224.2,2726.99,140.31,27.0,62.55,81.58,70.56,31.36,43.41,7.02,73.78,41.61,34.71,292.13,11.76,20.01,9630228.54,Recycled Plastic Lumber,Medium,Mahindra Sustainable Solutions,Low,Moderately Recoverable,61.0,27.3,2024-06-22
RWX-100033,"Ben, Sibal and Sule",India,Noida,Plastic Recycling,Industrial Wastewater,20468.96,Textile,Color Pigments,6.43,629.79,173.07,4153.39,817.1,7338.25,336.93,9.0,24.42,39.14,43.26,30.16,14.39,1.65,38.39,84.04,70.41,519.39,68.15,41.67,3946691.04,Circular Fashion Fibers,Emerging,Mahindra Sustainable Solutions,Low,Low Recovery Potential,97.58,25.5,2023-10-20
RWX-100034,"Devi, Bir and Gokhale",India,Tiruppur,Plastic Recycling,Sludge,11288.17,Organic,Oil Residue,9.17,364.26,27.75,5103.34,281.9,2737.65,1.38,34.86,53.66,58.81,44.16,84.15,7.48,5.35,67.08,31.21,84.73,444.13,67.8,31.4,8863641.18,Eco Concrete Additives,Medium,Mahindra Sustainable Solutions,High,Moderately Recoverable,59.47,47.0,2024-11-18
RWX-100035,Vasquez-Martinez,South Korea,Dubai,Garment Processing,Textile Dye Waste,19762.21,Metal,High TDS,9.5,1788.24,658.5,6586.01,766.04,3898.29,142.76,53.08,53.44,84.87,83.74,48.89,75.02,7.72,52.46,74.86,36.41,768.0,13.94,18.74,3928804.52,Eco Bricks,Very High,UltraTech EcoBuild,Low,Moderately Recoverable,57.88,36.5,2023-11-13
