batch_id,factory_name,factory_city,industry_type,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,recommended_product,predicted_market_demand,recommended_buyer,buyer_city,estimated_payback_months,treatment_dependency,ai_segmentation_category,esg_impact_score,upload_date
RWAI-100000,"Ghose, Chahal and Issac",Ahmedabad,Fabric Export Unit,Denim Processing Sludge,Leather,2812.28,Lead,8.13,1174.38,18.7,4533.87,131.31,963.32,250.06,3.15,59.63,26.08,25.82,76.45,37.33,2466108.05,4.09,81.16,59.55,42.01,178.82,Sustainable Wall Tiles,Very High,EcoPack India,Ludhiana,13.1,Low,Moderately Recoverable,79.83,2024-01-24
RWAI-100001,Bhandari LLC,Tiruppur,Synthetic Fiber Plant,Industrial Wastewater,Chemical,3134.22,High TDS,8.8,723.38,99.91,3534.76,78.35,2356.73,283.67,12.75,52.41,97.99,74.03,37.55,42.05,1964575.69,9.76,68.89,10.58,39.1,348.63,Eco Packaging Sheets,Emerging,Mahindra Sustainable Solutions,Panipat,11.6,Medium,Moderately Recoverable,71.51,2023-12-05
RWAI-100002,Arora LLC,Ludhiana,Fabric Export Unit,Synthetic Yarn Waste,Mixed,4260.71,Oil Residue,5.61,355.13,554.37,7709.98,427.49,737.81,93.1,17.48,31.53,55.37,50.26,36.68,28.25,2104240.22,2.11,43.29,21.4,56.85,142.51,Eco Concrete Additives,Very High,Reliance Circular Ventures,Indore,21.1,High,Moderately Recoverable,42.86,2024-04-15
RWAI-100003,Walla LLC,Mumbai,Industrial Dyeing,Industrial Wastewater,Leather,7505.14,Microplastics,6.75,1006.07,492.62,2190.61,499.75,2886.9,338.12,12.89,55.06,90.82,91.34,41.61,57.89,87923.1,8.58,45.18,24.86,67.16,227.96,Eco Paver Blocks,Medium,Asian Paints Eco Division,Ahmedabad,23.6,High,Needs Advanced Treatment,80.99,2024-08-25
RWAI-100004,"Swamy, Bhatnagar and Dada",Noida,Leather Processing,Polyester Sludge,Chemical,6328.59,Sulfide,6.05,251.4,323.42,2159.4,156.4,906.78,215.57,6.24,32.97,28.43,31.73,83.41,28.24,1261183.04,4.23,45.52,17.19,20.93,56.71,Sustainable Wall Tiles,Medium,Birla Eco Materials,Jaipur,8.7,High,Highly Recoverable,63.06,2025-06-27
RWAI-100005,"Kapadia, Suresh and Chatterjee",Jaipur,Textile Manufacturing,Plastic Laminate Waste,Chemical,1513.21,Lead,6.13,190.16,108.89,5467.82,279.64,2942.6,8.34,2.13,30.39,79.96,76.43,32.94,32.93,997171.69,5.91,93.33,77.68,54.15,228.9,Sustainable Ceiling Panels,Very High,Birla Eco Materials,Coimbatore,4.0,High,Highly Recoverable,77.67,2024-10-30
RWAI-100006,"Saxena, Sampath and Chander",Noida,Industrial Dyeing,Denim Processing Sludge,Mixed,4563.61,Color Pigments,7.51,276.28,288.97,2928.49,11.45,1180.65,119.09,30.18,28.79,41.86,43.8,47.09,54.03,2063869.43,5.67,97.23,47.78,58.79,227.79,Green Roofing Sheets,Medium,Birla Eco Materials,Ahmedabad,33.7,High,Moderately Recoverable,40.11,2025-10-30
RWAI-100007,Sood LLC,Panipat,Textile Manufacturing,Printing Dye Residue,Polymer,7622.14,Organic Contaminants,5.23,766.59,72.13,1104.47,471.61,3099.72,321.91,43.11,50.31,81.19,86.99,22.31,55.9,760926.28,3.74,82.38,51.16,81.76,426.6,Acoustic Insulation Panels,Very High,Adani Circular Infra,Ludhiana,17.0,Medium,Low Recovery Potential,95.32,2024-02-08
RWAI-100008,Ganesan Group,Ludhiana,Industrial Dyeing,Printing Dye Residue,Chemical,5102.5,Chromium,7.96,309.37,35.33,4148.26,462.09,5096.94,123.21,48.27,26.55,49.81,46.6,82.9,40.83,685430.33,7.34,70.68,40.91,62.91,98.63,Eco Concrete Additives,Emerging,Adani Circular Infra,Bhiwandi,4.5,Medium,Highly Recoverable,61.04,2023-11-20
RWAI-100009,"Wali, Dalal and Yogi",Noida,Textile Manufacturing,Printing Dye Residue,Polymer,1306.0,Chromium,7.23,1016.34,143.96,1716.14,466.57,4552.28,259.58,24.13,42.69,55.21,63.22,89.95,50.39,352253.96,5.4,67.11,37.57,46.84,312.74,Industrial Pigments,Medium,Reliance Circular Ventures,Panipat,16.3,Medium,Highly Recoverable,88.33,2025-08-21
