batch_id,factory_name,city,state,industry_type,waste_type,material_category,quantity_kg,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,contaminants,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
SEC-001-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,6656.09,6.4,1112.87,261.14,1392.19,330.26,1819.91,479.42,30.72,42.35,Heavy Metals,93.32,82.7,78.56,28.37,7.58,79.42,35.48,56.31,355.81,33.75,61.08,2138884.29,Industrial Pigments,High,EcoPack India,High,Moderately Recoverable,82.0,14.5,2025-01-01
SEC-001-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,6543.43,8.43,244.98,251.09,8399.25,600.41,4675.16,319.27,8.47,45.51,Oil Residue,54.3,47.99,54.74,14.05,3.74,97.54,62.6,70.96,136.74,80.11,12.78,462993.64,Industrial Pigments,Very High,JSW Green Materials,Medium,Moderately Recoverable,65.6,15.1,2025-01-01
SEC-001-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,7726.69,5.68,438.97,364.94,6740.21,211.04,2160.76,437.25,47.03,50.29,Oil Residue,62.03,50.0,31.4,18.35,9.99,83.86,79.83,86.83,196.72,81.48,57.4,1856687.09,Thermal Insulation Boards,High,UltraTech EcoBuild,High,Moderately Recoverable,63.17,20.0,2025-01-01
SEC-001-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,5854.01,5.79,227.87,535.84,3093.65,290.78,1732.71,58.64,37.2,38.04,Organic Contaminants,51.56,53.98,25.86,43.25,6.53,92.25,58.06,91.33,324.22,57.75,12.75,1454513.98,Thermal Insulation Boards,Medium,GreenBuild Gujarat,Low,Highly Recoverable,64.55,5.3,2025-01-01
SEC-002-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,14971.11,7.92,1137.84,42.2,7562.48,445.91,4939.18,496.63,26.59,39.83,Chromium,63.97,55.11,74.48,24.95,4.36,52.52,37.01,94.14,439.44,66.05,36.17,3221192.89,Industrial Pigments,Emerging,Reliance Circular Ventures,Medium,Needs Advanced Treatment,63.99,5.2,2025-01-02
SEC-002-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Mixed,3960.59,7.87,1300.04,616.67,6216.67,576.97,1696.08,331.82,29.6,37.88,Organic Contaminants,68.63,64.01,57.6,55.03,7.15,90.76,35.55,78.13,429.33,30.86,62.53,2737178.76,Industrial Pigments,High,EcoPack India,Medium,Needs Advanced Treatment,63.51,13.8,2025-01-02
SEC-003-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,14242.18,5.28,474.49,80.31,2770.81,201.95,8230.3,431.79,40.69,34.13,Color Pigments,88.02,83.78,52.54,27.44,2.63,47.44,44.33,55.37,197.79,96.41,25.21,737535.41,Compressed Construction Blocks,Emerging,EcoPack India,Medium,Low Recovery Potential,84.33,19.1,2025-01-03
SEC-003-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,2089.0,5.98,1082.85,328.83,4061.36,499.24,7942.26,467.38,42.34,49.1,Color Pigments,70.94,65.74,68.82,15.52,6.62,72.19,38.38,45.98,270.8,32.76,6.76,4033092.8,Thermal Insulation Boards,Emerging,EcoPack India,High,Needs Advanced Treatment,40.01,7.9,2025-01-03
SEC-004-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,12135.26,5.58,1385.47,402.67,1228.51,127.67,6624.43,546.28,8.68,54.29,Chromium,72.85,78.86,38.41,47.16,5.03,70.32,32.84,59.99,173.82,58.62,47.69,4356936.33,Eco Bricks,Very High,UltraTech EcoBuild,Medium,Needs Advanced Treatment,95.92,11.5,2025-01-04
SEC-004-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,2593.87,8.11,1182.54,60.46,5298.87,449.86,628.65,111.27,5.12,25.52,Organic Contaminants,71.66,71.08,62.74,41.43,4.16,93.41,65.35,81.59,316.54,17.6,10.91,1790542.58,Compressed Construction Blocks,High,Reliance Circular Ventures,Medium,Low Recovery Potential,76.64,22.0,2025-01-04
