batch_id,factory_name,city,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,recommended_product,recommended_buyer,upload_date
RW-10000,Griffith Group,Tiruppur,Sludge,Textile,976.79,Organic Contaminants,5.42,675.41,158.28,1730.32,140.53,3873.5,13.39,41.89,40.45,71.53,76.04,31.94,17.62,11518.32,Insulation Boards,GreenBuild Industries,2024-08-18
RW-10001,Johnson-Flores,Ahmedabad,Textile Dye Waste,Chemical,579.56,Heavy Metals,5.09,472.62,13.73,3771.79,75.47,301.59,43.72,59.97,29.14,71.71,70.87,51.82,55.57,439416.96,Industrial Pigments,EcoPack Solutions,2024-10-31
RW-10002,"Bell, Jones and Johnson",Kanpur,Chemical Effluent,Polymer,2252.97,Organic Contaminants,4.52,299.53,156.12,4724.34,5.53,3278.84,39.01,47.57,35.32,92.15,82.89,87.17,30.55,356899.26,Acoustic Panels,CircularTex Pvt Ltd,2025-11-12
RW-10003,Brennan-Ball,Jaipur,Chemical Effluent,Polymer,3057.28,Organic Contaminants,6.4,81.66,156.45,1626.09,85.51,954.2,198.06,38.54,22.5,67.33,49.13,32.93,13.42,330765.07,Industrial Pigments,UrbanEco Materials,2025-10-03
RW-10004,Moyer-Ward,Ahmedabad,Chemical Effluent,Chemical,424.45,High TDS,8.71,591.44,119.57,572.2,140.72,3622.43,164.42,25.0,46.56,54.26,59.37,88.44,40.88,19006.6,Eco Packaging,SustainFab Industries,2024-08-07
RW-10005,"Wilson, Ballard and Robinson",Surat,Fabric Scraps,Polymer,4909.96,Lead,6.95,171.69,264.58,3987.65,288.97,583.52,157.43,29.98,31.57,74.63,65.77,20.75,41.58,285909.0,Eco Bricks,UrbanEco Materials,2026-03-23
RW-10006,Lawrence Ltd,Ahmedabad,Chemical Effluent,Organic,3107.03,Color Pigments,8.82,152.04,373.39,1733.81,16.74,2166.14,79.37,37.81,20.16,62.66,52.5,73.24,5.11,425976.24,Recycled Fiber Sheets,SustainFab Industries,2024-06-03
RW-10007,"Lee, Fisher and Lawrence",Kanpur,Chemical Effluent,Polymer,609.83,Oil Residue,4.67,289.35,326.13,3143.32,152.76,140.16,65.55,26.37,22.74,83.2,66.24,93.02,34.59,316815.1,Industrial Pigments,EcoPack Solutions,2026-02-01
RW-10008,Young-Sparks,Ludhiana,Sludge,Polymer,4624.62,Sulfide,6.11,626.41,263.9,1850.57,41.77,3865.96,103.66,44.29,27.62,72.62,55.7,39.15,15.01,73778.75,Acoustic Panels,CircularTex Pvt Ltd,2025-05-03
RW-10009,"Munoz, Walters and Garcia",Ahmedabad,Polyester Fiber Scrap,Polymer,2062.56,Chromium,5.89,866.07,65.01,1289.36,194.61,2993.79,63.98,5.7,24.83,61.76,64.71,90.81,8.24,319513.91,Eco Packaging,EcoPack Solutions,2025-03-28
RW-10010,"Espinoza, Mckenzie and Mayo",Coimbatore,Textile Dye Waste,Mixed,3538.31,Color Pigments,7.5,341.74,288.79,465.32,239.64,2082.42,56.74,58.57,24.49,37.88,28.23,93.65,57.98,94526.02,Recycled Fiber Sheets,SustainFab Industries,2024-11-30
RW-10011,"Nunez, Black and Chen",Coimbatore,Synthetic Fiber Residue,Organic,3327.48,Color Pigments,6.84,883.38,352.92,3033.51,232.2,1980.95,132.67,15.04,30.23,71.77,55.49,87.81,37.46,393686.93,Insulation Boards,GreenBuild Industries,2025-04-21
RW-10012,Anderson PLC,Surat,Cotton Wastewater,Organic,2751.84,Low Contamination,5.72,75.14,218.71,2102.41,270.91,3656.06,62.16,14.33,24.49,78.39,57.95,46.21,18.65,371889.85,Industrial Pigments,EcoPack Solutions,2025-07-28
RW-10013,Moore LLC,Mumbai,Synthetic Fiber Residue,Chemical,1497.81,Low Contamination,4.66,747.38,345.63,3139.69,295.33,2603.58,57.86,31.56,51.07,84.43,69.73,55.09,57.82,254142.19,Acoustic Panels,UrbanEco Materials,2025-12-24
RW-10014,"Sanford, Smith and Ferguson",Kanpur,Industrial Wastewater,Organic,3007.95,Sulfide,5.53,394.2,353.92,1351.87,97.45,1046.37,87.65,39.34,40.4,54.18,49.25,75.55,24.93,220926.01,Recycled Fiber Sheets,SustainFab Industries,2024-07-31
RW-10015,"Johnston, Mckee and Chan",Kanpur,Polyester Fiber Scrap,Organic,4150.64,Heavy Metals,7.75,396.49,321.92,3000.22,158.23,533.78,84.55,47.82,49.67,35.12,30.94,62.54,23.3,279017.07,Recycled Fiber Sheets,GreenBuild Industries,2024-09-12
RW-10016,"Higgins, Clark and Smith",Tiruppur,Cotton Wastewater,Polymer,3359.4,Sulfide,7.02,785.87,257.68,1888.59,100.98,3393.62,28.05,49.49,26.75,74.82,57.57,76.94,55.35,142975.26,Recycled Fiber Sheets,SustainFab Industries,2024-10-09
RW-10017,Gonzalez-Williams,Ahmedabad,Mixed Textile Waste,Chemical,1968.12,Heavy Metals,5.18,498.05,96.11,4265.61,231.96,1464.26,136.25,17.54,46.92,73.89,72.51,51.23,38.5,145671.98,Insulation Boards,EcoPack Solutions,2024-08-30
RW-10018,"Cummings, Dunlap and Owens",Coimbatore,Chemical Effluent,Chemical,4192.58,Sulfide,7.8,251.98,386.27,2499.21,290.93,2165.7,24.51,12.94,21.71,30.22,31.7,52.54,42.26,162530.75,Recycled Fiber Sheets,EcoPack Solutions,2025-05-24
RW-10019,Arnold-Hayes,Jaipur,Polyester Fiber Scrap,Organic,1876.17,Sulfide,7.16,279.44,351.99,3753.09,93.51,1239.99,133.92,3.82,51.55,57.86,41.05,92.26,14.82,425339.57,Acoustic Panels,RenewLoop Manufacturing,2025-08-21
RW-10020,Williams LLC,Surat,Chemical Effluent,Polymer,4201.56,Color Pigments,7.24,739.32,228.41,2033.78,108.98,740.1,11.57,9.73,44.03,67.57,59.73,42.96,30.31,398977.32,Eco Packaging,GreenBuild Industries,2025-05-10
RW-10021,"Ramirez, Gonzalez and Osborn",Ahmedabad,Polyester Fiber Scrap,Textile,362.61,High TDS,5.14,105.44,269.66,1191.23,219.54,3890.5,18.65,55.57,20.45,67.34,65.45,85.17,49.24,364747.78,Eco Bricks,EcoPack Solutions,2026-04-25
RW-10022,Phillips-Lucas,Ludhiana,Sludge,Organic,858.05,Chromium,6.47,739.75,90.63,1873.67,213.28,3180.55,63.57,28.45,47.11,97.84,92.42,52.21,7.64,292372.12,Acoustic Panels,SustainFab Industries,2025-09-02
RW-10023,English LLC,Surat,Mixed Textile Waste,Textile,4950.24,Oil Residue,5.38,845.65,19.9,1945.94,214.22,402.3,30.21,23.38,32.03,38.56,34.85,88.13,33.13,420838.33,Acoustic Panels,CircularTex Pvt Ltd,2024-11-02
RW-10024,Miller Inc,Mumbai,Industrial Wastewater,Polymer,212.99,Heavy Metals,5.92,335.28,81.87,1984.0,172.09,1394.16,146.5,38.95,51.71,56.76,44.21,85.83,8.66,343597.68,Recycled Fiber Sheets,EcoPack Solutions,2025-03-13
RW-10025,"Palmer, Maldonado and Tucker",Ludhiana,Chemical Effluent,Mixed,1647.34,Chromium,7.06,504.63,63.22,1174.75,152.44,1277.51,199.34,16.2,41.76,59.22,55.65,22.09,8.29,415276.91,Recycled Fiber Sheets,EcoPack Solutions,2025-10-31
RW-10026,"Myers, Gonzalez and Nixon",Ahmedabad,Fabric Scraps,Textile,2215.61,Heavy Metals,4.96,662.67,168.27,1321.84,242.4,152.11,36.03,20.23,29.18,93.84,88.84,74.54,48.86,409284.08,Recycled Fiber Sheets,EcoPack Solutions,2024-12-29
